epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,303.699,0.69144,0.77419,1,0.54588,0.000526421,0.000526421,0.000526421
2,660.428,0.50599,0.83871,1,0.42121,0.00106066,0.00106066,0.00106066
3,866.302,0.39897,0.87097,1,0.3908,0.0015729,0.0015729,0.0015729
4,108131,0.27827,0.83871,1,0.48403,0.00156798,0.00156798,0.00156798
5,108281,0.24608,0.79032,1,0.59154,0.00153497,0.00153497,0.00153497
6,108410,0.20225,0.80645,1,0.68026,0.00150197,0.00150197,0.00150197
7,108537,0.21721,0.79032,1,0.61403,0.00146896,0.00146896,0.00146896
8,108677,0.1929,0.77419,1,0.71765,0.00143595,0.00143595,0.00143595
9,108794,0.14967,0.75806,1,0.69805,0.00140295,0.00140295,0.00140295
10,108925,0.15911,0.80645,1,0.61316,0.00136994,0.00136994,0.00136994
11,109052,0.09156,0.8871,1,0.48147,0.00133693,0.00133693,0.00133693
12,109181,0.09168,0.87097,1,0.4573,0.00130393,0.00130393,0.00130393
13,109302,0.10879,0.85484,1,0.54196,0.00127092,0.00127092,0.00127092
14,109427,0.15804,0.8871,1,0.47387,0.00123791,0.00123791,0.00123791
15,109552,0.1393,0.80645,1,0.62373,0.00120491,0.00120491,0.00120491
16,109669,0.09352,0.90323,1,0.47489,0.0011719,0.0011719,0.0011719
17,109788,0.12431,0.8871,1,0.47899,0.00113889,0.00113889,0.00113889
18,109916,0.09402,0.87097,1,0.64009,0.00110589,0.00110589,0.00110589
19,110042,0.10374,0.8871,1,0.6186,0.00107288,0.00107288,0.00107288
20,110175,0.13072,0.83871,1,0.71844,0.00103987,0.00103987,0.00103987
21,110289,0.10624,0.90323,1,0.54373,0.00100687,0.00100687,0.00100687
22,110408,0.06343,0.91935,1,0.54609,0.000973861,0.000973861,0.000973861
23,110524,0.08723,0.90323,1,0.51913,0.000940855,0.000940855,0.000940855
24,110633,0.04735,0.91935,1,0.56434,0.000907848,0.000907848,0.000907848
25,110734,0.08362,0.8871,1,0.70794,0.000874842,0.000874842,0.000874842
26,110847,0.0801,0.8871,1,0.72813,0.000841835,0.000841835,0.000841835
27,110955,0.08344,0.8871,1,0.76657,0.000808828,0.000808828,0.000808828
28,111067,0.0788,0.87097,1,0.74798,0.000775822,0.000775822,0.000775822
29,111177,0.0958,0.8871,1,0.63751,0.000742815,0.000742815,0.000742815
30,111291,0.08064,0.90323,1,0.57459,0.000709809,0.000709809,0.000709809
31,111374,0.08787,0.90323,1,0.58134,0.000676802,0.000676802,0.000676802
32,111447,0.05368,0.90323,1,0.57869,0.000643795,0.000643795,0.000643795
33,111521,0.04755,0.91935,1,0.58919,0.000610789,0.000610789,0.000610789
34,111604,0.08138,0.87097,1,0.57158,0.000577782,0.000577782,0.000577782
35,111684,0.07904,0.87097,1,0.604,0.000544776,0.000544776,0.000544776
36,111773,0.03051,0.8871,1,0.6105,0.000511769,0.000511769,0.000511769
37,111894,0.03301,0.90323,1,0.58655,0.000478762,0.000478762,0.000478762
38,112020,0.05438,0.90323,1,0.57514,0.000445756,0.000445756,0.000445756
39,112130,0.03426,0.90323,1,0.5196,0.000412749,0.000412749,0.000412749
40,112234,0.03957,0.91935,1,0.49501,0.000379743,0.000379743,0.000379743
41,112363,0.04874,0.91935,1,0.48933,0.000346736,0.000346736,0.000346736
42,112518,0.03007,0.91935,1,0.53425,0.000313729,0.000313729,0.000313729
43,112644,0.0406,0.91935,1,0.53265,0.000280723,0.000280723,0.000280723
44,112782,0.02662,0.91935,1,0.53881,0.000247716,0.000247716,0.000247716
45,112905,0.03974,0.91935,1,0.55179,0.00021471,0.00021471,0.00021471
46,113014,0.04506,0.91935,1,0.54233,0.000181703,0.000181703,0.000181703
47,113137,0.03371,0.91935,1,0.53004,0.000148696,0.000148696,0.000148696
48,113259,0.06223,0.91935,1,0.53557,0.00011569,0.00011569,0.00011569
49,113374,0.04085,0.91935,1,0.56786,8.26832e-05,8.26832e-05,8.26832e-05
50,113492,0.02179,0.91935,1,0.5345,4.96766e-05,4.96766e-05,4.96766e-05
